,,,,,,,,"* this is necessary because often, the values of some cells are extremely similar",,,,,,,,,,,,,,,,,,,,,,,,
P(Xi|Zj) from Matt,,,,,,,,"Rounded to 3 significant figures, in scientific notation",,,,,,,,,cells containing max value of each row are marked with 1,,,,,,,,,normalises each row to sum to 1,,,,,,
37411923.42,218078.028,2387159.919,7616.089913,239422.5648,1894711.24,246777.0953,,37400000,218000,2390000,7620,239000,1890000,247000,37400000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
25026484.83,14209196.47,1543017.003,1543017.011,25026484.96,14209196.46,1543016.999,,25000000,14200000,1540000,1540000,25000000,14200000,1540000,25000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
459893.9774,334080.0985,28003.73848,85.09108551,4008.052368,63076.4274,45952.12504,,460000,334000,28000,85.1,4010,63100,46000,460000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
47155.55804,369587.2729,1504.701394,4.800659151,226.1258411,3558.638682,155.5513047,,47200,370000,1500,4.8,226,3560,156,370000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
4.15247E+12,4.15247E+12,7.51547E+12,7.51547E+12,4.15247E+12,4.15247E+12,7.51547E+12,,4.15E+12,4.15E+12,7.52E+12,7.52E+12,4.15E+12,4.15E+12,7.52E+12,7.52E+12,,0,0,1,1,0,0,1,3,,0,0,0.333333333,0.333333333,0,0,0.333333333
27660839.25,161237.935,1764967.977,5631.024004,177019.2087,1400871.654,182456.8464,,27700000,161000,1760000,5630,177000,1400000,182000,27700000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
126720330.7,738666.1194,8085702.81,25796.9477,810963.5595,6417698.234,835874.564,,127000000,739000,8090000,25800,811000,6420000,836000,127000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
2837845730,16542100.73,181075736.4,577711.2291,18161170.07,143721512.2,18719040.94,,2840000000,16500000,181000000,578000,18200000,144000000,18700000,2840000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1068762.915,776379.8566,65078.81955,197.7460046,9314.446248,146585.4082,106789.6722,,1070000,776000,65100,198,9310,147000,107000,1070000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1831923.375,15127790.19,57452.53876,57452.5387,1831923.373,15127790.18,57452.53864,,1830000,15100000,57500,57500,1830000,15100000,57500,15100000,,0,1,0,0,0,1,0,2,,0,0.5,0,0,0,0.5,0
449740.4308,3524893.909,14350.90754,45.78570595,2156.647857,33940.08597,1483.551752,,450000,3520000,14400,45.8,2160,33900,1480,3520000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
51315990.78,51315990.38,9362052378,29869064.14,471027630.9,51315990.53,967819572.2,,51300000,51300000,9360000000,29900000,471000000,51300000,968000000,9360000000,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
33982703724,3702237384,2154929967,6.75434E+11,3702237413,3702237380,2154929967,,34000000000,3700000000,2150000000,6.75E+11,3700000000,3700000000,2150000000,6.75E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
18884117080,10721766614,1164307090,1164307089,18884117053,10721766615,1164307088,,18900000000,10700000000,1160000000,1160000000,18900000000,10700000000,1160000000,18900000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
618937.7821,4898069.542,19688.56111,6479566.138,4898069.849,563759.4378,19688.56111,,619000,4900000,19700,6480000,4900000,564000,19700,6480000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
13003.20616,101914.1688,414.9233569,1.323787976,62.35449342,981.2992236,42.89347357,,13000,102000,415,1.32,62.4,981,42.9,102000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
25139823203,2738851901,1594180346,4.99674E+11,2738851904,2738851896,1594180346,,25100000000,2740000000,1590000000,5E+11,2740000000,2740000000,1590000000,5E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
51894330334,51894330328,93922545430,93922545387,51894330336,51894330328,93922545268,,51900000000,51900000000,93900000000,93900000000,51900000000,51900000000,93900000000,93900000000,,0,0,1,1,0,0,1,3,,0,0,0.333333333,0.333333333,0,0,0.333333333
1185299289,6909233.95,75630940.53,241295.9595,7585479.973,60028987.56,7818489.102,,1190000000,6910000,75600000,241000,7590000,60000000,7820000,1190000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
417878615,48097114.44,552803931.7,1679728.821,52804652.67,417878611.4,907111578.1,,418000000,48100000,553000000,1680000,52800000,418000000,907000000,907000000,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1
